individual,time,treat_post,outcome,treat,post,time_to_treat
1,1,0,23.98357077,1,0,-5
1,2,0,22.30867849,1,0,-4
1,3,0,27.73844269,1,0,-3
1,4,0,33.61514928,1,0,-2
1,5,0,26.32923313,1,0,-1
1,6,1,32.82931522,1,1,0
1,7,1,43.39606408,1,1,1
1,8,1,40.83717365,1,1,2
1,9,1,36.15262807,1,1,3
1,10,1,42.71280022,1,1,4
2,1,0,19.18291154,1,0,-5
2,2,0,20.67135123,1,0,-4
2,3,0,25.70981136,1,0,-3
2,4,0,16.43359878,1,0,-2
2,5,0,18.87541084,1,0,-1
2,6,1,31.18856235,1,1,0
2,7,1,30.4358444,1,1,1
2,8,1,38.57123666,1,1,2
2,9,1,33.95987962,1,1,3
2,10,1,32.93848149,1,1,4
3,1,0,28.82824384,1,0,-5
3,2,0,21.8711185,1,0,-4
3,3,0,24.83764102,1,0,-3
3,4,0,18.87625907,1,0,-2
3,5,0,24.77808638,1,0,-1
3,6,1,34.55461295,1,1,0
3,7,1,29.74503211,1,1,1
3,8,1,38.87849009,1,1,2
3,9,1,35.49680655,1,1,3
3,10,1,38.54153125,1,1,4
4,1,0,18.49146694,1,0,-5
4,2,0,32.26139092,1,0,-4
4,3,0,24.43251388,1,0,-3
4,4,0,20.71144536,1,0,-2
4,5,0,31.61272456,1,0,-1
4,6,1,27.89578175,1,1,0
4,7,1,36.54431798,1,1,1
4,8,1,27.20164938,1,1,2
4,9,1,31.85906976,1,1,3
4,10,1,40.98430618,1,1,4
5,1,0,25.1923329,1,0,-5
5,2,0,23.85684141,1,0,-4
5,3,0,23.92175859,1,0,-3
5,4,0,24.49448152,1,0,-2
5,5,0,20.10739005,1,0,-1
5,6,1,30.40077896,1,1,0
5,7,1,33.19680615,1,1,1
5,8,1,42.28561113,1,1,2
5,9,1,40.21809145,1,1,3
5,10,1,31.18479922,1,1,4
6,1,0,23.12041985,1,0,-5
6,2,0,21.0745886,1,0,-4
6,3,0,21.11539,1,0,-3
6,4,0,29.05838144,1,0,-2
6,5,0,32.65499761,1,0,-1
6,6,1,38.6564006,1,1,0
6,7,1,31.30391238,1,1,1
6,8,1,35.45393812,1,1,2
6,9,1,40.15631716,1,1,3
6,10,1,44.87772564,1,1,4
7,1,0,19.10412881,1,0,-5
7,2,0,22.07170512,1,0,-4
7,3,0,18.96832513,1,0,-3
7,4,0,20.01896688,1,0,-2
7,5,0,31.56262911,1,0,-1
7,6,1,40.78120014,1,1,0
7,7,1,35.13994939,1,1,1
7,8,1,42.01766449,1,1,2
7,9,1,40.30818013,1,1,3
7,10,1,36.77440123,1,1,4
8,1,0,23.30697803,1,0,-5
8,2,0,30.69018283,1,0,-4
8,3,0,24.3208698,1,0,-3
8,4,0,33.82321828,1,0,-2
8,5,0,14.40127448,1,0,-1
8,6,1,38.10951252,1,1,0
8,7,1,35.93523534,1,1,1
8,8,1,35.50496325,1,1,2
8,9,1,38.95880388,1,1,3
8,10,1,30.06215543,1,1,4
9,1,0,20.40164056,1,0,-5
9,2,0,24.78556286,1,0,-4
9,3,0,31.88947022,1,0,-3
9,4,0,23.40864891,1,0,-2
9,5,0,23.45753199,1,0,-1
9,6,1,31.49121478,1,1,0
9,7,1,40.07701059,1,1,1
